baraj_adi,yil_2010,yil_2011,yil_2012,yil_2013,yil_2014,yil_2015,yil_2016,yil_2017,yil_2018,yil_2019,yil_2020,yil_2021
TAHTAKOPRU,39.4,42.5,22.5,14.5,0.0,11.2,0.0,0.0,1.9,0.0,0.0,0.0
YARSELI,39.4,42.5,7.3,11.6,6.6,0.6,2.3,2.3,1.6,8.3,2.2,1.5
YAYLADAG,34.8,45.1,33.0,27.1,0.0,30.1,44.8,32.3,32.5,28.5,0.0,5.2
ULUBORLU,55.8,60.4,52.4,32.2,24.8,17.4,0.0,0.0,0.0,7.2,0.0,1.6
SORGUN,38.2,27.1,41.7,38.1,32.3,47.1,30.7,37.4,23.6,59.8,33.8,26.9
YALVAC,0.0,21.1,18.2,0.0,0.0,19.0,14.6,20.2,14.9,25.1,11.6,0.0
DARIDERESI,39.4,42.5,40.2,39.9,29.1,47.5,37.4,0.0,30.6,36.7,23.1,49.6
BERDAN,17.4,28.1,46.2,30.7,39.6,32.1,20.3,33.5,37.2,38.5,31.2,16.0
ALAKOPRU,39.4,42.5,40.2,39.9,29.1,47.5,33.4,65.2,47.0,71.7,72.6,84.2
GEZENDE,0.0,5.8,93.0,36.0,24.2,7.3,47.5,30.5,28.2,54.4,13.2,36.5
OMERLI,57.8,60.8,64.4,60.4,18.8,74.3,49.2,60.5,63.1,47.9,54.4,87.0
TERKOS,39.4,42.5,47.3,59.4,57.2,68.0,54.6,61.7,56.5,65.3,38.9,65.4
BUYUKCEKMECE,39.4,42.5,50.5,44.5,9.1,54.3,22.5,49.8,55.9,49.1,18.6,52.8
DARLIK,61.0,59.8,51.5,57.4,7.2,64.0,52.9,46.6,61.3,53.4,68.2,58.8
SAZLIDERE,72.0,67.4,49.0,38.2,4.5,15.4,36.1,41.0,18.8,45.4,9.9,29.9
ALIBEY,17.0,44.9,18.3,22.6,19.8,61.2,40.4,65.1,53.6,40.1,21.4,27.2
KAZANDERE,92.6,67.1,33.5,8.7,28.8,81.2,61.0,72.7,57.9,20.4,5.5,13.7
ELMALI II,39.4,42.5,67.3,47.8,43.7,94.0,0.6,0.6,62.7,74.4,32.6,71.1
BUYUKDERE,39.4,42.5,66.7,22.5,95.3,100.0,70.3,100.0,44.9,20.8,11.9,14.8
SULTANBAHCEDERE,39.4,42.5,31.9,48.1,92.3,100.0,28.8,100.0,92.8,71.2,59.1,26.0
KUZULUDERE,39.4,42.5,12.5,31.2,99.4,95.0,16.9,99.4,12.5,8.1,13.8,24.4
DUZDERE,81.0,16.6,55.0,55.0,76.5,100.0,29.4,100.0,100.0,35.3,58.8,35.3
ELMALIDERE,39.4,42.5,0.0,0.0,100.0,100.0,100.0,100.0,100.0,50.0,50.0,0.0
TAHTALI,47.6,48.4,46.7,64.5,52.7,70.9,53.8,47.2,31.7,60.4,42.1,57.7
BEYDAG,39.4,42.5,22.5,38.1,30.4,37.3,14.5,1.9,1.4,1.3,0.8,0.5
ZEYTINOVA,39.4,42.5,40.2,39.9,0.0,8.4,4.3,22.8,9.9,11.4,3.8,4.5
SEFERIHISAR,46.2,52.8,41.0,48.5,46.4,65.8,60.0,46.6,41.7,72.0,53.0,69.5
VALI KUTLU AKTAS,39.4,42.5,40.2,39.9,7.1,44.4,24.9,13.5,14.2,54.9,21.4,45.7
KAVAKDERE,71.8,64.9,62.8,65.9,60.7,65.5,42.1,32.4,14.8,65.2,33.6,71.5
URKMEZ,54.0,48.6,37.9,56.2,42.4,62.1,51.8,58.1,52.3,58.0,40.0,57.5
BALCOVA,17.2,17.7,28.3,35.1,15.4,8.1,16.5,13.9,24.5,10.6,15.0,54.5
GUZELHISAR,78.0,78.6,78.8,51.7,55.2,74.2,73.9,72.6,67.1,69.5,49.2,70.2
YORTANLI,39.4,42.5,79.2,49.0,57.0,65.2,60.2,41.0,20.2,47.3,14.0,28.9
CALTIKORU,39.4,42.5,44.5,83.3,53.7,49.8,58.3,62.2,52.2,50.3,23.3,31.2
KESTEL,51.1,48.1,47.4,38.1,0.2,34.0,15.4,36.9,42.1,42.7,5.3,31.7
MENZELET,49.2,64.2,68.6,44.5,12.5,47.7,29.0,15.0,24.6,58.5,60.6,54.8
SIR,35.1,8.8,17.9,15.4,6.3,22.1,13.0,13.0,28.0,33.9,16.5,11.8
ADATEPE,39.4,42.5,40.2,39.9,0.0,74.3,52.0,28.3,7.0,67.0,57.7,55.3
KANDIL,39.4,42.5,40.2,39.9,3.4,74.9,41.7,47.0,34.5,90.4,85.5,54.2
KARTALKAYA,3.7,6.7,12.3,11.1,18.8,21.0,17.8,21.9,22.0,22.0,21.6,18.4
KILAVUZLU,39.4,42.5,15.0,89.1,91.6,78.1,74.3,83.0,66.8,90.4,95.3,64.6
SARIGUZEL,39.4,42.5,40.2,39.9,43.6,57.8,68.1,80.7,90.7,93.4,82.0,53.5
ERMENEK,0.0,1.7,97.6,44.0,37.5,59.8,65.7,64.6,71.7,66.2,55.0,33.0
BALKUSAN,39.4,42.5,40.2,39.9,0.0,31.0,1.0,0.2,0.0,1.3,8.5,3.2
GODET,0.6,2.0,3.8,0.8,0.6,7.7,2.0,14.4,15.5,28.9,46.1,38.5
IBRALA,39.4,42.5,40.2,39.9,20.9,49.9,29.5,65.1,34.1,44.9,0.0,3.9
AYRANCI,0.6,3.2,2.4,2.2,2.9,2.1,4.4,2.9,1.7,3.7,0.8,0.1
ARPACAY ,39.4,42.5,0.0,1.4,0.0,3.3,11.3,70.0,70.0,70.0,70.0,7.7
BAYBURT,39.4,42.5,40.2,39.9,11.9,24.4,30.0,30.0,30.0,30.3,30.3,27.0
SEFAKOY,39.4,42.5,69.6,81.3,69.9,67.4,88.7,91.0,72.8,94.8,85.7,88.8
BEYLER,60.1,9.0,66.9,46.9,33.8,73.4,69.7,66.5,73.3,66.9,52.2,90.8
KULAKSIZLAR,0.0,88.3,82.1,88.5,87.7,86.5,78.1,63.9,64.0,41.4,30.5,45.3
KARADERE,0.0,57.7,27.7,19.0,14.9,34.3,37.0,27.7,17.3,21.3,8.6,91.9
KARACOMAK,59.6,64.8,50.7,36.6,39.5,73.5,76.4,58.5,63.9,72.3,49.9,33.6
GERMECTEPE,16.5,25.8,16.5,16.7,38.4,37.5,51.9,12.2,39.7,38.1,5.2,2.8
YAMULA,72.8,65.3,56.4,68.0,23.0,59.6,70.3,23.7,5.7,28.4,33.4,11.4
AGCASAR,4.9,1.7,40.2,39.9,2.6,22.3,13.2,28.2,12.6,22.1,24.3,4.4
SARIMSAKLI,23.8,29.8,16.9,15.7,24.3,28.4,6.1,5.7,2.8,1.3,3.0,0.0
SARIOGLAN,53.9,63.9,55.8,3.0,0.0,13.9,0.0,0.0,0.0,0.0,7.5,0.0
KOVALI,4.9,0.6,0.4,5.8,0.0,18.4,9.0,0.0,4.0,8.7,5.5,16.3
AKKOY,20.0,25.7,10.8,18.6,14.8,23.8,5.2,1.7,16.2,0.0,4.4,1.7
BAHCELIK,62.4,73.7,74.3,79.2,59.4,81.6,41.3,40.7,55.6,13.0,63.2,45.8
GUMUSOREN,39.4,42.5,40.2,39.9,29.1,47.5,0.0,24.0,65.2,26.8,52.9,56.8
AKSAKLI-KARACALI,39.4,42.5,40.2,39.9,29.1,47.5,37.4,24.0,0.0,75.0,0.0,0.0
KAYAPINAR,39.4,42.5,40.2,39.9,29.1,47.5,37.4,0.0,9.9,64.7,35.1,16.6
KAPULUKAYA,42.9,77.3,27.8,50.9,82.9,54.8,78.4,72.4,84.1,26.8,88.5,85.3
SULAKYURT,39.4,42.5,40.2,39.9,29.1,47.5,37.4,34.7,34.6,39.5,53.8,58.3
PABUCDERE,92.3,65.8,35.3,15.9,18.6,76.3,25.7,72.2,55.6,10.8,8.2,2.2
KAYALIKOY,45.1,35.8,41.2,41.4,41.8,56.9,58.4,43.8,57.6,31.7,4.4,43.1
KIRKLARELI,59.0,42.7,47.8,55.2,42.8,45.3,38.6,30.2,41.5,22.6,21.8,55.0
ARMAGAN,87.6,72.9,64.2,54.3,65.8,59.4,65.4,55.8,60.4,59.2,33.1,64.5
KARAOVA,31.9,46.0,48.7,40.8,27.5,24.5,16.9,8.3,6.8,15.6,16.9,8.8
SIDDIKLI,50.5,39.7,9.4,4.6,24.3,12.7,2.0,0.0,0.2,3.7,4.2,1.5
COGUN,55.0,71.8,68.8,46.3,27.3,32.4,31.9,9.9,0.0,19.8,21.0,6.9
SEVE,15.9,5.7,58.6,75.3,42.2,69.3,35.3,8.7,1.6,79.7,74.8,61.7
KIRAZDERE,39.4,42.5,41.8,31.7,60.3,81.7,38.9,46.4,40.9,40.6,34.6,75.2
BAGBASI,39.4,42.5,40.2,39.9,29.1,47.5,0.0,3.1,36.7,34.2,35.6,15.2
APA,6.5,11.2,9.7,3.5,3.5,37.2,4.5,6.1,6.0,3.6,12.9,1.2
IVRIZ,4.4,8.0,6.6,5.5,5.2,28.5,4.7,6.0,9.9,43.0,4.0,2.1
ALTINAPA,22.0,56.6,42.5,18.5,12.2,67.8,7.8,21.3,3.8,0.0,33.8,37.2
DELICAY,39.4,42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.9,0.0,0.0
DEREBUCAK Prof. Dr. YILMAZ MUSLU,39.4,42.5,58.3,48.6,48.9,44.6,28.2,12.1,31.0,25.1,99.6,40.9
SILLE,36.5,56.6,100.0,90.4,78.3,96.3,46.3,70.5,54.9,54.5,98.8,87.3
BESKARIS,39.4,42.5,40.2,39.9,41.3,58.4,38.0,23.2,25.6,85.4,71.4,71.4
CAVDARHISAR,66.1,59.8,64.3,53.1,27.2,73.0,36.2,14.5,38.1,49.7,31.4,28.6
KAYABOGAZI,50.6,53.5,45.7,47.4,70.0,61.1,74.6,47.3,72.5,37.7,54.7,68.0
ENNE,39.4,42.5,40.2,39.9,29.1,47.5,37.4,0.0,46.1,37.8,85.4,85.4
CAT,15.2,19.5,19.2,28.9,2.7,24.6,8.0,0.0,0.0,26.6,34.4,20.1
BOZTEPE RECAI KUTAN,39.4,42.5,0.0,82.0,25.3,52.0,62.9,67.2,42.2,24.9,21.1,15.0
KAPIKAYA TURGUT OZAL,39.4,42.5,0.0,88.8,87.1,88.0,75.8,72.1,66.5,56.1,51.0,37.0
SURGU,2.8,9.4,11.2,15.9,0.7,23.2,12.3,0.4,1.7,38.3,19.2,18.8
SULTAN SUYU,39.4,42.5,18.5,14.3,4.9,22.5,19.1,5.1,11.4,12.2,14.4,12.2
POLAT,1.7,17.8,4.2,14.2,4.2,14.0,7.1,1.6,12.6,37.6,17.4,19.3
DEMIRKOPRU,47.8,39.9,43.8,44.3,2.6,34.0,17.5,0.0,0.0,0.0,0.0,0.0
GORDES,39.4,42.5,22.4,29.4,13.8,0.0,0.0,5.5,10.1,9.6,5.7,4.0
AVSAR,48.8,37.9,40.9,43.5,7.9,53.1,12.7,6.1,2.9,10.5,7.2,0.0
GUNESLI,39.4,42.5,40.2,39.9,0.0,87.4,38.6,78.7,48.0,68.9,21.3,44.5
SEVISLER,58.6,56.0,69.1,67.4,53.4,64.5,61.9,60.0,48.8,59.1,35.2,38.4
DUMLUCA,0.7,10.2,20.7,20.8,0.9,14.8,5.1,11.5,14.0,13.5,96.2,0.0
AKKOPRU,39.4,42.5,0.0,0.0,3.5,20.2,0.0,0.0,0.0,0.0,0.0,0.0
GEYIK,58.8,67.0,63.6,63.0,38.9,51.9,32.2,12.2,26.3,73.4,68.7,37.2
AKGEDIK,25.6,33.3,22.5,32.0,0.8,72.9,13.4,12.8,23.5,60.4,34.1,19.9
ESEN 1,39.4,42.5,6.9,4.7,0.0,7.0,0.6,0.0,0.0,0.0,0.0,0.0
DERINCE,39.4,42.5,40.2,39.9,0.0,49.9,53.5,47.9,63.7,66.0,56.9,20.0
MUMCULAR,43.4,22.7,44.1,43.6,12.2,40.1,5.4,0.0,0.0,44.7,9.4,1.7
BAYIR,73.6,73.6,85.0,69.7,43.1,47.1,44.0,46.0,46.1,77.0,70.1,59.8
ALPARSLAN-1,39.4,42.5,10.4,52.4,36.8,38.7,58.9,56.1,35.3,47.7,51.2,0.9
BAYRAMHACILI,39.4,42.5,55.9,67.7,49.1,74.9,63.0,75.3,57.3,74.7,70.1,78.3
AYHANLAR,32.8,43.9,57.7,55.2,38.2,33.2,13.9,3.4,1.4,7.9,8.3,0.0
YALINTAS,13.5,7.9,18.5,49.5,34.7,39.6,21.4,9.0,1.3,30.2,0.0,0.0
DAMSA,56.6,44.8,41.6,39.4,39.1,41.6,24.7,31.3,50.5,0.0,45.1,54.1
DOYDUK,39.4,42.5,40.2,39.9,29.1,47.5,37.4,34.7,0.0,47.7,58.0,31.8
AKKAYA,39.4,42.5,0.0,5.8,27.7,35.6,24.4,6.9,6.3,3.3,6.9,39.4
GUMUSLER,0.8,5.6,8.0,4.5,2.8,3.3,3.8,0.8,1.8,12.7,18.8,17.3
GEBERE,0.0,4.1,4.8,10.0,1.6,22.1,0.0,0.0,0.0,13.1,4.5,9.0
TOPCAM-ORDU,39.4,42.5,40.2,39.9,29.1,47.5,0.0,27.6,27.2,30.8,16.2,46.0
UMUT I BARAJI,39.4,42.5,40.2,39.9,29.1,47.5,6.8,18.3,0.1,0.0,0.0,0.0
BERKE,39.4,42.5,87.3,79.8,15.5,86.9,48.7,75.3,49.7,93.3,83.9,45.9
MEHMETLI,39.4,42.5,1.4,8.0,2.9,32.2,23.2,26.7,22.9,22.6,10.7,18.1
KALECIK BARAJI,39.4,42.5,20.0,23.9,22.8,30.5,11.5,18.9,16.9,22.5,14.8,28.2
ALTINKAYA,43.1,62.0,38.3,52.6,38.3,85.7,73.6,52.6,41.2,41.9,23.1,32.6
DERBENT,77.0,77.0,66.8,85.6,63.6,74.4,71.1,58.0,71.8,61.3,81.0,76.4
VEZIRKOPRU,39.4,42.5,71.4,70.9,84.5,74.0,58.8,73.3,64.6,62.3,16.5,51.0
H.UGURLU,39.4,42.5,32.7,43.3,14.4,15.2,55.2,60.5,39.0,59.2,38.3,11.8
S.UGURLU,39.4,42.5,57.5,16.4,6.8,40.8,58.9,39.2,59.5,72.7,63.6,29.3
CAKMAK,73.5,73.7,77.0,78.5,7.9,70.6,71.5,70.2,42.4,49.2,46.1,82.7
ALKUMRU,39.4,42.5,58.3,20.7,44.8,13.5,50.1,30.3,21.9,50.8,81.9,40.6
ERFELEK,39.4,42.5,82.7,68.9,85.6,90.4,84.0,68.8,68.4,65.8,57.5,75.9
BOYABAT,39.4,42.5,0.0,50.7,44.6,38.0,26.8,21.1,27.8,47.9,49.9,15.7
SARAYDUZU,39.4,42.5,40.2,39.9,29.1,47.5,73.5,78.2,79.7,79.3,52.6,54.7
DODURGA,39.4,42.5,40.2,39.9,29.1,47.5,43.2,48.0,28.1,36.1,0.0,26.1
MURSAL,13.5,0.0,6.4,74.1,3.9,11.4,8.7,5.9,21.3,18.6,15.5,30.3
PUSAT OZEN,39.4,42.5,83.9,68.0,75.6,90.5,80.3,78.5,82.7,0.0,67.2,54.8
4 EYLUL,39.4,42.5,51.5,57.1,42.6,27.4,25.7,14.1,8.0,28.5,12.3,3.4
IMRANLI,52.9,43.6,27.7,29.5,73.1,58.6,73.0,64.7,76.2,72.9,58.3,51.8
KARACALAR,48.6,48.3,65.6,62.8,20.0,9.5,5.9,0.0,7.4,5.9,10.0,3.9
CERMIKLER,39.4,42.5,40.2,39.9,0.0,20.1,20.6,33.6,6.2,42.0,61.4,41.6
KANAK,39.4,42.5,40.2,39.9,29.1,47.5,50.9,18.1,34.2,7.1,59.9,31.8
GAZIBEY,29.7,48.6,49.9,42.9,1.7,18.9,23.6,19.4,12.4,38.8,42.3,31.4
YAPIALTIN,16.2,21.5,2.5,19.2,9.0,20.1,20.6,2.8,22.9,40.2,34.6,28.6
MAKSUTLU,31.7,32.4,17.9,7.1,2.5,13.5,9.5,5.1,30.9,12.7,8.6,5.6
KILICKAYA,22.7,32.3,49.1,53.9,29.5,54.0,56.8,48.8,40.8,24.2,35.8,18.4
GULOVA,22.8,28.8,33.6,28.0,2.7,30.7,38.9,3.0,22.4,27.2,17.9,12.1
CAMLIGUZE,63.4,61.9,70.9,64.3,67.8,55.0,57.1,71.6,86.0,55.0,86.0,95.6
UCOZ,39.4,42.5,40.2,39.9,29.1,47.5,37.4,34.7,0.0,35.9,13.1,11.3
BOZARMUT,39.4,42.5,40.2,39.9,29.1,47.5,37.4,34.7,5.9,100.0,4.5,2.2
ATATURK,52.0,53.5,59.8,57.9,42.7,46.5,24.4,30.9,20.9,45.0,43.2,36.3
BIRECIK,88.0,80.1,73.5,79.6,85.3,84.8,75.6,81.4,81.2,69.5,83.0,80.7
HACIHIDIR,17.6,16.3,26.4,24.8,20.6,13.9,18.0,16.2,16.0,44.9,40.9,12.3
SILOPI,39.4,42.5,40.2,39.9,29.1,47.5,37.4,0.0,100.0,100.0,100.0,100.0
SIRNAK,39.4,42.5,40.2,39.9,29.1,47.5,37.4,0.0,100.0,100.0,100.0,100.0
NAIPKOY BARAJI,39.4,42.5,40.2,39.9,29.1,47.5,37.4,34.7,34.6,74.1,40.6,43.8
TURKMENLI,39.4,42.5,40.2,39.9,35.1,70.6,37.9,42.9,72.5,69.5,32.0,33.9
KARAIDEMIR,47.2,43.7,27.7,41.0,22.2,29.3,0.0,14.1,39.7,23.5,4.1,12.4
ALMUS,53.4,67.7,54.1,54.6,37.4,52.7,62.1,48.3,27.6,41.9,42.1,19.7
GUZELCE,39.4,42.5,40.2,39.9,29.1,47.5,37.4,34.7,34.6,82.5,75.7,70.8
TEPEKISLA,39.4,42.5,40.2,39.9,29.1,47.5,52.5,87.5,87.3,100.0,98.6,65.8
BELPINAR,40.4,41.3,38.9,37.4,2.9,58.4,28.1,18.4,0.2,4.0,0.1,0.0
BEDIRKALE,58.2,96.3,50.5,55.1,0.0,82.5,41.4,36.3,2.2,37.5,37.0,13.3
BOZTEPE,34.6,43.4,19.1,27.3,2.2,73.5,27.3,7.2,1.2,17.8,4.8,4.8
ATAKOY,90.8,90.8,93.6,98.2,64.9,98.2,94.6,100.0,83.8,89.2,93.7,90.1
ATASU,39.4,42.5,40.2,39.9,67.3,100.0,99.4,99.4,99.4,99.4,100.0,100.0
UZUNCAYIR,35.4,38.4,24.5,17.8,17.5,15.5,32.0,21.5,59.2,22.8,23.0,1.9
KUCUKLER,77.2,72.4,80.7,50.3,14.6,68.7,48.6,7.4,34.3,21.7,10.4,5.0
SARIMEHMET,49.2,26.3,28.0,22.1,2.6,6.3,7.9,14.1,8.5,11.8,0.0,6.1
ZERNEK,46.8,55.2,22.9,48.9,6.2,32.6,36.4,31.5,43.3,35.6,42.8,0.0
KOCKOPRU,8.6,27.9,30.6,25.0,0.0,2.4,8.2,20.6,27.1,29.3,17.5,16.6
GOKCE,62.5,43.7,44.1,37.8,7.8,61.5,38.5,45.3,39.7,43.6,42.6,61.3
GELINGULLU,62.4,64.0,49.2,40.5,2.1,32.9,27.6,0.0,0.0,13.3,10.5,0.0
UZUNLU,17.9,13.6,2.1,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0
YAHYASARAY,45.5,50.4,17.5,24.5,8.5,58.9,19.0,0.0,6.7,32.4,14.0,1.1
FEHIMLI,6.8,10.7,29.5,25.0,17.5,19.8,8.5,8.7,12.1,10.7,4.9,10.4
KUZAYCA,4.2,2.2,0.7,0.6,0.0,0.0,0.0,0.0,0.0,11.6,0.0,0.0
SUREYYABEY,39.4,42.5,40.2,39.9,29.1,47.5,0.0,57.8,57.4,0.0,19.8,7.2
MUSABEYLI,39.4,42.5,40.2,39.9,29.1,47.5,37.4,46.1,32.4,55.5,27.1,25.6
KIZILCAPINAR,66.4,60.5,41.4,28.1,88.8,46.6,70.4,72.1,56.2,83.6,69.0,89.8
KOZLU,39.4,42.5,40.6,26.8,29.3,57.7,66.5,67.8,54.5,60.3,50.9,70.6
